"ID","SectorBranchesSIC2008","Periods","OutputBasicPrices_1","IntermediateConsumption_2","GrossValueAddedBasicPrices_3","OutputBasicPrices_4","IntermediateConsumption_5","GrossValueAddedBasicPrices_6","OutputBasicPrices_7","IntermediateConsumption_8","GrossValueAddedBasicPrices_9","OutputBasicPrices_10","IntermediateConsumption_11","GrossValueAddedBasicPrices_12","Total_13","WagesAndSalaries_14","EmployersSocialContributions_15","Gross_16","ConsumptionOfFixedCapital_17","Net_18","TaxesLessSubsidies_19","OtherTaxesOnProduction_20","OtherSubsidiesOnProduction_21","GrossValueAddedBasicPrices_22"
0,"300025","1995JJ00",587866,292992,294874,809171,408547,400377,NA,NA,NA,72.7,71.7,73.6,164700,138455,26245,128463,52469,75994,1711,3220,1509,294874
1,"300025","1996JJ00",624009,316394,307615,846978,433451,413421,4.7,6.1,3.3,73.7,73,74.4,171076,143731,27345,135450,54545,80905,1089,3297,2208,307615
2,"300025","1997JJ00",671992,343515,328477,893563,462293,431254,5.5,6.7,4.3,75.2,74.3,76.2,180613,152989,27624,147299,56842,90457,565,3295,2730,328477
3,"300025","1998JJ00",714756,364847,349909,943600,493277,450430,5.6,6.7,4.4,75.7,74,77.7,193708,154596,39112,156230,60092,96138,-29,3443,3472,349909
4,"300025","1999JJ00",762732,390927,371805,993791,521193,472791,5.3,5.7,5,76.7,75,78.6,208602,166229,42373,163425,64307,99118,-222,3865,4087,371805
5,"300025","2000JJ00",838703,436711,401992,1041403,548413,493296,4.8,5.2,4.3,80.5,79.6,81.5,225800,178225,47575,176139,70031,106108,53,4152,4099,401992
6,"300025","2001JJ00",887894,463290,424604,1064301,561025,503601,2.2,2.3,2.1,83.4,82.6,84.3,238391,190976,47415,186223,75517,110706,-10,4586,4596,424604
7,"300025","2002JJ00",908329,466741,441588,1061325,557556,504054,-0.3,-0.6,0.1,85.6,83.7,87.6,250067,198430,51637,191384,80232,111152,137,4789,4652,441588
8,"300025","2003JJ00",921468,468568,452900,1058386,552816,505713,-0.3,-0.9,0.3,87.1,84.8,89.6,256910,202614,54296,195653,83414,112239,337,4823,4486,452900
9,"300025","2004JJ00",955090,487551,467539,1079835,563606,516352,2,2,2.1,88.4,86.5,90.5,260672,204707,55965,206876,85731,121145,-9,5025,5034,467539
10,"300025","2005JJ00",1003573,517170,486403,1105796,578323,527651,2.4,2.6,2.2,90.8,89.4,92.2,264776,208631,56145,220715,88769,131946,912,5405,4493,486403
11,"300025","2006JJ00",1064260,548274,515986,1145948,599938,546213,3.6,3.7,3.5,92.9,91.4,94.5,274119,218250,55869,241167,92292,148875,700,5458,4758,515986
12,"300025","2007JJ00",1130668,583150,547518,1190797,624060,566969,3.9,4,3.8,95,93.4,96.6,290933,231327,59606,256648,96440,160208,-63,5589,5652,547518
13,"300025","2008JJ00",1190059,619172,570887,1213154,635389,577990,1.9,1.8,1.9,98.1,97.4,98.8,307355,242160,65195,263703,101072,162631,-171,6053,6224,570887
14,"300025","2009JJ00",1140435,586746,553689,1169733,611780,558157,-3.6,-3.7,-3.4,97.5,95.9,99.2,311679,245616,66063,243090,104435,138655,-1080,6548,7628,553689
15,"300025","2010JJ00",1177286,609529,567757,1177286,609529,567757,0.6,-0.4,1.7,100,100,100,310471,246542,63929,258266,106982,151284,-980,6762,7742,567757
16,"300025","2011JJ00",1236753,657163,579590,1208123,628971,579152,2.6,3.2,2,102.4,104.5,100.1,318040,251715,66325,261813,107068,154745,-263,6985,7248,579590
17,"300025","2012JJ00",1254164,670332,583832,1199046,624347,574694,-0.8,-0.7,-0.8,104.6,107.4,101.6,322825,253193,69632,260301,107897,152404,706,7218,6512,583832
18,"300025","2013JJ00",1252249,663714,588535,1195050,619677,575515,-0.3,-0.7,0.1,104.8,107.1,102.3,324595,254034,70561,262029,109362,152667,1911,8024,6113,588535
19,"300025","2014JJ00",1265728,668314,597414,1214501,630454,584159,1.6,1.7,1.5,104.2,106,102.3,327963,253880,74083,264780,110194,154586,4671,10472,5801,597414
20,"300025","2015JJ00",1277423,669563,607860,1243156,649619,593496,2.4,3,1.6,102.8,103.1,102.4,331798,261220,70578,272948,111851,161097,3114,9017,5903,607860
21,"301000","1995JJ00",20776,10797,9979,23352,14122,9185,NA,NA,NA,89,76.5,108.6,1676,1439,237,8223,2217,6006,80,298,218,9979
22,"301000","1996JJ00",21156,11505,9651,23234,14606,8748,-0.5,3.4,-4.8,91.1,78.8,110.3,1734,1489,245,8004,2262,5742,-87,273,360,9651
23,"301000","1997JJ00",22308,11636,10672,23883,14465,9384,2.8,-1,7.3,93.4,80.4,113.7,1786,1548,238,8880,2313,6567,6,281,275,10672
24,"301000","1998JJ00",21398,11620,9778,23604,14785,8928,-1.2,2.2,-4.9,90.7,78.6,109.5,1859,1534,325,7922,2385,5537,-3,275,278,9778
25,"301000","1999JJ00",21134,11691,9443,24639,15144,9527,4.4,2.4,6.7,85.8,77.2,99.1,1991,1620,371,7629,2476,5153,-177,275,452,9443
26,"301000","2000JJ00",22349,12312,10037,24847,15249,9625,0.8,0.7,1,89.9,80.7,104.3,2102,1680,422,7933,2644,5289,2,289,287,10037
27,"301000","2001JJ00",23153,12811,10342,24199,15207,9099,-2.6,-0.3,-5.5,95.7,84.2,113.7,2209,1797,412,8161,2796,5365,-28,339,367,10342
28,"301000","2002JJ00",22880,12880,10000,24338,15279,9162,0.6,0.5,0.7,94,84.3,109.1,2350,1910,440,7555,2922,4633,95,339,244,10000
29,"301000","2003JJ00",22825,12685,10140,24257,14877,9403,-0.3,-2.6,2.6,94.1,85.3,107.8,2374,1900,474,7849,2983,4866,-83,309,392,10140
30,"301000","2004JJ00",22600,13175,9425,25096,15161,9910,3.5,1.9,5.4,90.1,86.9,95.1,2326,1877,449,7208,3056,4152,-109,311,420,9425
31,"301000","2005JJ00",23241,13475,9766,25170,15224,9923,0.3,0.4,0.1,92.3,88.5,98.4,2313,1875,438,7505,3113,4392,-52,343,395,9766
32,"301000","2006JJ00",25243,14341,10902,25464,15519,9933,1.2,1.9,0.1,99.1,92.4,109.8,2351,1924,427,8888,3174,5714,-337,342,679,10902
33,"301000","2007JJ00",26489,15729,10760,26295,16101,10194,3.3,3.8,2.6,100.7,97.7,105.6,2480,2022,458,8796,3277,5519,-516,331,847,10760
34,"301000","2008JJ00",27445,17346,10099,27167,16697,10474,3.3,3.7,2.8,101,103.9,96.4,2543,2075,468,8160,3427,4733,-604,354,958,10099
