"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1990","1990","AUD","Australian Dollar","6","Millions",,,414815,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1991","1991","AUD","Australian Dollar","6","Millions",,,422927,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1992","1992","AUD","Australian Dollar","6","Millions",,,443969,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1993","1993","AUD","Australian Dollar","6","Millions",,,466616,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1994","1994","AUD","Australian Dollar","6","Millions",,,495554,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1995","1995","AUD","Australian Dollar","6","Millions",,,528960,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1996","1996","AUD","Australian Dollar","6","Millions",,,556573,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1997","1997","AUD","Australian Dollar","6","Millions",,,588679,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1998","1998","AUD","Australian Dollar","6","Millions",,,620243,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","1999","1999","AUD","Australian Dollar","6","Millions",,,660728,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","2000","2000","AUD","Australian Dollar","6","Millions",,,705221,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","2001","2001","AUD","Australian Dollar","6","Millions",,,753388,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","2002","2002","AUD","Australian Dollar","6","Millions",,,800720,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","2003","2003","AUD","Australian Dollar","6","Millions",,,861327,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","2004","2004","AUD","Australian Dollar","6","Millions",,,921929,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","2005","2005","AUD","Australian Dollar","6","Millions",,,997534,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","2006","2006","AUD","Australian Dollar","6","Millions",,,1086534,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","2007","2007","AUD","Australian Dollar","6","Millions",,,1177941,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","2008","2008","AUD","Australian Dollar","6","Millions",,,1258459,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","2009","2009","AUD","Australian Dollar","6","Millions",,,1296797,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","2010","2010","AUD","Australian Dollar","6","Millions",,,1409795,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","2011","2011","AUD","Australian Dollar","6","Millions",,,1491046,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","2012","2012","AUD","Australian Dollar","6","Millions",,,1524383,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","2013","2013","AUD","Australian Dollar","6","Millions",,,1584578,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","2014","2014","AUD","Australian Dollar","6","Millions",,,1609992,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","1990","1990","AUD","Australian Dollar","6","Millions","2013","2013",758132,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","1991","1991","AUD","Australian Dollar","6","Millions","2013","2013",761156,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","1992","1992","AUD","Australian Dollar","6","Millions","2013","2013",792060,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","1993","1993","AUD","Australian Dollar","6","Millions","2013","2013",824043,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","1994","1994","AUD","Australian Dollar","6","Millions","2013","2013",856007,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","1995","1995","AUD","Australian Dollar","6","Millions","2013","2013",889813,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","1996","1996","AUD","Australian Dollar","6","Millions","2013","2013",924936,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","1997","1997","AUD","Australian Dollar","6","Millions","2013","2013",965987,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","1998","1998","AUD","Australian Dollar","6","Millions","2013","2013",1014355,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","1999","1999","AUD","Australian Dollar","6","Millions","2013","2013",1053597,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","2000","2000","AUD","Australian Dollar","6","Millions","2013","2013",1073925,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","2001","2001","AUD","Australian Dollar","6","Millions","2013","2013",1115343,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","2002","2002","AUD","Australian Dollar","6","Millions","2013","2013",1149594,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","2003","2003","AUD","Australian Dollar","6","Millions","2013","2013",1197294,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","2004","2004","AUD","Australian Dollar","6","Millions","2013","2013",1235687,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","2005","2005","AUD","Australian Dollar","6","Millions","2013","2013",1272546,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","2006","2006","AUD","Australian Dollar","6","Millions","2013","2013",1320364,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","2007","2007","AUD","Australian Dollar","6","Millions","2013","2013",1369306,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","2008","2008","AUD","Australian Dollar","6","Millions","2013","2013",1394223,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","2009","2009","AUD","Australian Dollar","6","Millions","2013","2013",1422361,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","2010","2010","AUD","Australian Dollar","6","Millions","2013","2013",1456207,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","2011","2011","AUD","Australian Dollar","6","Millions","2013","2013",1509107,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","2012","2012","AUD","Australian Dollar","6","Millions","2013","2013",1545929,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","2013","2013","AUD","Australian Dollar","6","Millions","2013","2013",1584578,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","2014","2014","AUD","Australian Dollar","6","Millions","2013","2013",1620355,,
"AUT","Austria","B1_GA","Gross domestic product (output approach)","C","Current prices","1990","1990","EUR","Euro","6","Millions",,,137217.3419,"E","Estimated value"
"AUT","Austria","B1_GA","Gross domestic product (output approach)","C","Current prices","1991","1991","EUR","Euro","6","Millions",,,147109.1186,"E","Estimated value"
"AUT","Austria","B1_GA","Gross domestic product (output approach)","C","Current prices","1992","1992","EUR","Euro","6","Millions",,,155414.0955,"E","Estimated value"
"AUT","Austria","B1_GA","Gross domestic product (output approach)","C","Current prices","1993","1993","EUR","Euro","6","Millions",,,160540.303,"E","Estimated value"
"AUT","Austria","B1_GA","Gross domestic product (output approach)","C","Current prices","1994","1994","EUR","Euro","6","Millions",,,168547.5938,"E","Estimated value"
"AUT","Austria","B1_GA","Gross domestic product (output approach)","C","Current prices","1995","1995","EUR","Euro","6","Millions",,,176183.3,,
"AUT","Austria","B1_GA","Gross domestic product (output approach)","C","Current prices","1996","1996","EUR","Euro","6","Millions",,,182132.75,,
"AUT","Austria","B1_GA","Gross domestic product (output approach)","C","Current prices","1997","1997","EUR","Euro","6","Millions",,,188309.68,,
"AUT","Austria","B1_GA","Gross domestic product (output approach)","C","Current prices","1998","1998","EUR","Euro","6","Millions",,,195828.19,,
"AUT","Austria","B1_GA","Gross domestic product (output approach)","C","Current prices","1999","1999","EUR","Euro","6","Millions",,,203418.33,,
"AUT","Austria","B1_GA","Gross domestic product (output approach)","C","Current prices","2000","2000","EUR","Euro","6","Millions",,,213196.12,,
"AUT","Austria","B1_GA","Gross domestic product (output approach)","C","Current prices","2001","2001","EUR","Euro","6","Millions",,,220095.68,,
